soc_level,region,year,yield_tha,soc_total,n_mineralized
SOC_50pct,sub_saharan_africa,30,1.3869,9.02,26.11
SOC_50pct,fsu_central_asia,0,2.9277,36.03,47.90
SOC_50pct,fsu_central_asia,1,2.6876,35.94,47.90
SOC_50pct,fsu_central_asia,2,2.6704,35.86,47.04
SOC_50pct,fsu_central_asia,3,2.6589,35.80,46.39
SOC_50pct,fsu_central_asia,4,2.6499,35.73,45.89
SOC_50pct,fsu_central_asia,5,2.6427,35.68,45.51
SOC_50pct,fsu_central_asia,6,2.6368,35.62,45.21
SOC_50pct,fsu_central_asia,7,2.6319,35.57,44.98
SOC_50pct,fsu_central_asia,8,2.6277,35.52,44.79
SOC_50pct,fsu_central_asia,9,2.6241,35.48,44.63
SOC_50pct,fsu_central_asia,10,2.6208,35.43,44.49
SOC_50pct,fsu_central_asia,11,2.6179,35.39,44.38
SOC_50pct,fsu_central_asia,12,2.6152,35.35,44.27
SOC_50pct,fsu_central_asia,13,2.6127,35.31,44.18
SOC_50pct,fsu_central_asia,14,2.6103,35.27,44.09
SOC_50pct,fsu_central_asia,15,2.6081,35.23,44.02
SOC_50pct,fsu_central_asia,16,2.6060,35.19,43.94
SOC_50pct,fsu_central_asia,17,2.6039,35.16,43.87
SOC_50pct,fsu_central_asia,18,2.6020,35.12,43.80
SOC_50pct,fsu_central_asia,19,2.6001,35.09,43.74
SOC_50pct,fsu_central_asia,20,2.5982,35.06,43.68
SOC_50pct,fsu_central_asia,21,2.5965,35.02,43.62
SOC_50pct,fsu_central_asia,22,2.5947,34.99,43.56
SOC_50pct,fsu_central_asia,23,2.5930,34.96,43.51
SOC_50pct,fsu_central_asia,24,2.5914,34.93,43.45
SOC_50pct,fsu_central_asia,25,2.5898,34.90,43.40
SOC_50pct,fsu_central_asia,26,2.5883,34.87,43.35
SOC_50pct,fsu_central_asia,27,2.5868,34.85,43.30
SOC_50pct,fsu_central_asia,28,2.5853,34.82,43.25
SOC_50pct,fsu_central_asia,29,2.5839,34.79,43.20
SOC_50pct,fsu_central_asia,30,2.5825,34.77,43.16
SOC_25pct,north_america,0,5.6040,51.12,83.40
SOC_25pct,north_america,1,5.5074,51.10,83.40
SOC_25pct,north_america,2,5.4999,51.07,83.08
SOC_25pct,north_america,3,5.4968,51.05,82.84
SOC_25pct,north_america,4,5.4944,51.03,82.67
SOC_25pct,north_america,5,5.4926,51.02,82.53
SOC_25pct,north_america,6,5.4910,51.00,82.43
SOC_25pct,north_america,7,5.4897,50.99,82.36
SOC_25pct,north_america,8,5.4885,50.97,82.29
SOC_25pct,north_america,9,5.4875,50.96,82.24
SOC_25pct,north_america,10,5.4865,50.95,82.20
SOC_25pct,north_america,11,5.4857,50.93,82.16
SOC_25pct,north_america,12,5.4848,50.92,82.13
SOC_25pct,north_america,13,5.4841,50.91,82.10
