region,year,price_reported,price_econ_consistent,err_pp
sub_saharan_africa,9,1.0566599830394954,1.0717736078359252,-1.5113624796429859
sub_saharan_africa,10,1.0576490078043503,1.0725669245495002,-1.4917916745149862
sub_saharan_africa,11,1.0584912691029706,1.0732499747393551,-1.4758705636384484
sub_saharan_africa,12,1.0592202735295984,1.07384741319243,-1.462713966283169
sub_saharan_africa,13,1.0598610850202874,1.0743777137960815,-1.4516628775794072
sub_saharan_africa,14,1.0604324804497298,1.0748547430602209,-1.4422262610491066
sub_saharan_africa,15,1.0609485568702193,1.0752889348054264,-1.434037793520715
sub_saharan_africa,16,1.061419928391872,1.0756881658401978,-1.4268237448325838
sub_saharan_africa,17,1.061854616680493,1.0760584080557283,-1.4203791375235308
sub_saharan_africa,18,1.06225871308684,1.0764042136628553,-1.414550057601538
sub_saharan_africa,19,1.0626368707645777,1.0767290760824177,-1.4092205317840056
sub_saharan_africa,20,1.0629926703347923,1.077035698267331,-1.4043027932538754
sub_saharan_africa,21,1.0633288915566175,1.0773261921670414,-1.3997300610423924
sub_saharan_africa,22,1.0636477151646024,1.0776022270010859,-1.395451183648344
sub_saharan_africa,23,1.063950872840764,1.0778651394916101,-1.3914266650846052
sub_saharan_africa,24,1.06423975867533,1.0781160158351695,-1.3876257159839422
sub_saharan_africa,25,1.064515512036346,1.0783557526839,-1.3840240647553959
sub_saharan_africa,26,1.0647790792149099,1.0785851025378508,-1.3806023322940897
sub_saharan_africa,27,1.0650312593151918,1.0788047075608325,-1.377344824564064
sub_saharan_africa,28,1.0652727384488512,1.0790151247994069,-1.374238635055569
sub_saharan_africa,29,1.0655041152467677,1.0792168450172634,-1.3712729770495757
sub_saharan_africa,30,1.0657259199239704,1.0794103067873442,-1.368438686337381
fsu_central_asia,1,1.091627117263009,1.103810470133412,-1.2183352870402953
fsu_central_asia,2,1.0844256068577904,1.1144526528346586,-3.0027045976868116
fsu_central_asia,3,1.091250633056454,1.1190611945526026,-2.781056149614858
fsu_central_asia,4,1.096555657467143,1.1224261065096204,-2.5870449042477484
